,car_id,target_reg
0,P17494612l,43.86401504784524
1,N-1530212S,33.400975223237474
2,B-1154399t,33.21268804492894
3,F12725233R,34.89818705203185
4,l-1139189J,33.92601042912739
5,U75286923j,44.87597830432343
6,T-7479831o,33.55806673043959
7,B-1369793u,33.43009491289814
8,Y-1289786X,54.51928932481759
9,C29045893T,33.601099550089764
10,v-1730983R,32.68841198351949
11,I20727212Q,48.19317721041148
12,p48812438h,46.655921380435274
13,T-2633971l,44.35062856181643
14,V-9683916q,48.0797809987195
15,P68488505Z,35.99242729100933
16,W23907639f,74.02978787222906
17,A22674788w,33.848944340279346
18,y-1252277z,45.14403026838209
19,u21168983D,43.36387983035374
20,x12753662A,44.19309020306715
21,v-7435255a,43.08743706459053
22,E12421362P,39.01639619720458
23,J35738918W,33.79815520709181
24,T16973122B,46.151696136203554
25,p-5671458M,51.80215979320316
26,I68086031c,68.80778566627815
27,D69722395r,51.68254540059227
28,X10967418c,69.41924367086942
29,q-1489273f,38.902600170533304
30,C-1903701S,65.21294724966542
31,r11820515d,42.28041215989642
32,x12397432S,38.624265440725864
33,Q50389908q,59.241797034314175
34,B18597537S,33.454541792497245
35,S-9537522o,67.20752735809688
36,a10623296X,42.138060921721426
37,R28123139u,38.60734338328778
38,h-1451730v,34.497944148418405
39,d-1257449w,39.43251477006089
40,N11419190t,33.3723422765663
41,k63904133P,72.19317509397086
42,J92413639E,40.49460960624182
43,b-3875784F,67.64910150499033
44,f15183722K,33.72902443464389
45,c-1874297z,72.99107100522775
46,E16971328N,38.40315399294002
47,H18110876A,67.71477887395325
48,P-1301418D,50.301246959150056
49,b-9697936F,33.14179722167677
50,H-4258275m,33.91347892958697
51,H10655858l,34.87992703644806
52,w-1481290E,40.13797576205721
53,C40885722w,32.974591913952054
54,f15625319Q,51.970369531785686
55,B42019578p,43.86401504784524
56,T65731704H,48.657148377004326
57,e30424190o,70.07577213903245
58,w-1081221i,48.07038952868034
59,E48110445u,33.23571568831683
60,u73256394H,51.3558433783107
61,m17237645h,36.772308107280104
62,q-1403429B,74.17168923839192
63,E-1889080W,48.01165736939408
64,b-1781291I,47.535095442338296
65,P77959737c,48.74711100747344
66,h17474551u,77.50318327330349
67,d17705773B,65.71373536597325
68,s-2080909j,52.65142149645668
69,N18448941g,32.974591913952054
70,P17953716g,49.11729667169652
71,i94781425U,41.28192506605511
72,L-2155385D,54.039934203972535
73,Q21449479D,32.38387536054227
74,z-1790906x,47.49143794550071
75,C-4338027c,78.75889586860973
76,F13621020y,34.57547928348918
77,P-1981563m,71.03683911662664
78,B20284663C,70.35620624832825
79,X-5672837D,33.30012871996114
80,f-8313064a,33.6866898991499
81,S16867324D,44.81373283864317
82,l81011564d,53.20819008015284
83,T-7878324V,32.62349283430115
84,X49290901c,34.89818705203185
