,car_id,target_reg
0,P17494612l,45.54346954938163
1,N-1530212S,33.37267590810581
2,B-1154399t,32.60166878587026
3,F12725233R,35.78842158555618
4,l-1139189J,32.80858886368367
5,U75286923j,45.5762248746861
6,T-7479831o,34.71557145720663
7,B-1369793u,34.36883871529818
8,Y-1289786X,54.74925209791905
9,C29045893T,32.35846700849818
10,v-1730983R,31.348491505528774
11,I20727212Q,49.20912905809175
12,p48812438h,47.112989685010575
13,T-2633971l,46.173869075409534
14,V-9683916q,49.89183529558951
15,P68488505Z,35.396454907840656
16,W23907639f,75.50797428033823
17,A22674788w,35.40278959719406
18,y-1252277z,44.4314054519123
19,u21168983D,43.05229242636418
20,x12753662A,45.6225072626936
21,v-7435255a,44.653639029789744
22,E12421362P,39.18642104709163
23,J35738918W,32.72499154419262
24,T16973122B,45.37665610049091
25,p-5671458M,50.929814420974445
26,I68086031c,66.0644883283164
27,D69722395r,49.936270710052725
28,X10967418c,66.45114369269912
29,q-1489273f,37.89214115892687
30,C-1903701S,63.225289724485094
31,r11820515d,38.59879146247748
32,x12397432S,39.37865743820442
33,Q50389908q,57.88285436556677
34,B18597537S,32.95690328231342
35,S-9537522o,70.79134951823931
36,a10623296X,41.73509187813588
37,R28123139u,41.76088681934086
38,h-1451730v,33.199048407283314
39,d-1257449w,39.645589744468836
40,N11419190t,31.666383243734124
41,k63904133P,74.8634367670895
42,J92413639E,37.31185708046194
43,b-3875784F,68.94860364229683
44,f15183722K,34.79907592863647
45,c-1874297z,71.7383570673272
46,E16971328N,40.39132253803342
47,H18110876A,71.87629013889921
48,P-1301418D,49.23748874164921
49,b-9697936F,31.56702672812155
50,H-4258275m,35.25205948680622
51,H10655858l,35.048997094156945
52,w-1481290E,39.02543009430634
53,C40885722w,32.33112743203493
54,f15625319Q,51.273482085721504
55,B42019578p,43.45695666799356
56,T65731704H,48.10808876044278
57,e30424190o,68.49561985658815
58,w-1081221i,44.6123670784957
59,E48110445u,31.741557880904658
60,u73256394H,51.53336077487089
61,m17237645h,33.640610772308236
62,q-1403429B,79.5514777450002
63,E-1889080W,47.34692223883469
64,b-1781291I,47.34388470090432
65,P77959737c,46.41201825467612
66,h17474551u,79.74155809654312
67,d17705773B,71.29816220687977
68,s-2080909j,52.8673902466197
69,N18448941g,30.335667271375637
70,P17953716g,49.92257386345824
71,i94781425U,40.79832586936304
72,L-2155385D,50.95047705576706
73,Q21449479D,32.15317953165
74,z-1790906x,47.50735523517203
75,C-4338027c,70.4858225775759
76,F13621020y,32.82835986174371
77,P-1981563m,72.38788838555601
78,B20284663C,72.98854966605181
79,X-5672837D,34.43559719434965
80,f-8313064a,33.42381671541402
81,S16867324D,45.52578312649355
82,l81011564d,51.69099630288342
